title,title_detail,published,published_parsed,summary,summary_detail,id,guidislink,link,links,media_content,media_credit,credit
Réforme des retraites : Emmanuel Macron s’érige en garant de « l’ordre » et fustige La France insoumise,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Réforme des retraites\xa0: Emmanuel Macron s’érige en garant de «\xa0l’ordre\xa0» et fustige La\xa0France insoumise'}","Wed, 29 Mar 2023 05:30:00 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=29, tm_hour=3, tm_min=30, tm_sec=0, tm_wday=2, tm_yday=88, tm_isdst=0)","Toujours inflexible, le chef de l’Etat accuse LFI d’attiser la colère qui s’exprime en marge des manifestations. Si la tentative de médiation du leader de la CFDT a été rejetée, Elisabeth Borne a invité l’intersyndicale à Matignon en début de semaine.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Toujours inflexible, le chef de l’Etat accuse LFI d’attiser la colère qui s’exprime en marge des manifestations. Si la tentative de médiation du leader de la CFDT a été rejetée, Elisabeth Borne a invité l’intersyndicale à Matignon en début de semaine.'}",https://www.lemonde.fr/politique/article/2023/03/29/reforme-des-retraites-emmanuel-macron-s-erige-en-garant-de-l-ordre-et-fustige-la-france-insoumise_6167359_823448.html,True,https://www.lemonde.fr/politique/article/2023/03/29/reforme-des-retraites-emmanuel-macron-s-erige-en-garant-de-l-ordre-et-fustige-la-france-insoumise_6167359_823448.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/politique/article/2023/03/29/reforme-des-retraites-emmanuel-macron-s-erige-en-garant-de-l-ordre-et-fustige-la-france-insoumise_6167359_823448.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/03/28/720/0/8640/4320/644/322/60/0/7410898_1680046008111-328971.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'Thibault Camus / AP'}]",Thibault Camus / AP
Immigration : le plan du gouvernement pour mieux orienter les demandeurs d’asile en dehors de la région parisienne,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Immigration\xa0: le plan du gouvernement pour mieux orienter les demandeurs d’asile en dehors de la région parisienne'}","Wed, 29 Mar 2023 05:30:10 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=29, tm_hour=3, tm_min=30, tm_sec=10, tm_wday=2, tm_yday=88, tm_isdst=0)","D’après une circulaire ministérielle dont « Le Monde » a eu connaissance, les migrants seront incités à partir en province, grâce à un dispositif garantissant un hébergement et un meilleur accès au droit. L’objectif est d’éviter les retours à Paris, où nombre d’entre eux vivent dans la rue.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'D’après une circulaire ministérielle dont «\xa0Le\xa0Monde\xa0» a eu connaissance, les migrants seront incités à partir en province, grâce à un dispositif garantissant un hébergement et un meilleur accès au droit. L’objectif est d’éviter les retours à Paris, où nombre d’entre eux vivent dans la rue.'}",https://www.lemonde.fr/societe/article/2023/03/29/immigration-le-plan-du-gouvernement-pour-mieux-orienter-les-demandeurs-d-asile-en-dehors-de-la-region-parisienne_6167360_3224.html,True,https://www.lemonde.fr/societe/article/2023/03/29/immigration-le-plan-du-gouvernement-pour-mieux-orienter-les-demandeurs-d-asile-en-dehors-de-la-region-parisienne_6167360_3224.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/societe/article/2023/03/29/immigration-le-plan-du-gouvernement-pour-mieux-orienter-les-demandeurs-d-asile-en-dehors-de-la-region-parisienne_6167360_3224.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/03/29/464/0/5568/2784/644/322/60/0/77fba0b_1680051066771-000-32nr6h4.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'CHRISTOPHE ARCHAMBAULT / AFP'}]",CHRISTOPHE ARCHAMBAULT / AFP
Sainte-Soline : l’enregistrement qui prouve que le SAMU n’a pas eu le droit d’intervenir,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Sainte-Soline\xa0: l’enregistrement qui prouve que le SAMU n’a pas eu le droit d’intervenir'}","Tue, 28 Mar 2023 21:04:26 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=19, tm_min=4, tm_sec=26, tm_wday=1, tm_yday=87, tm_isdst=0)","Alors qu’une polémique s’est installée sur la possibilité de secourir les blessés lors de la manifestation contre la mégabassine, samedi 25 mars, une équipe de la Ligue des droits de l’homme a eu, en direct, confirmation que les forces de l’ordre interdisaient au SAMU d’intervenir. « Le Monde » a eu connaissance de cette conversation téléphonique.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Alors qu’une polémique s’est installée sur la possibilité de secourir les blessés lors de la manifestation contre la mégabassine, samedi 25\xa0mars, une équipe de la Ligue des droits de l’homme a eu, en direct, confirmation que les forces de l’ordre interdisaient au SAMU d’intervenir. «\xa0Le Monde\xa0» a eu connaissance de cette conversation téléphonique.'}",https://www.lemonde.fr/planete/article/2023/03/28/sainte-soline-l-enregistrement-qui-prouve-que-le-samu-n-a-pas-eu-le-droit-d-intervenir_6167340_3244.html,True,https://www.lemonde.fr/planete/article/2023/03/28/sainte-soline-l-enregistrement-qui-prouve-que-le-samu-n-a-pas-eu-le-droit-d-intervenir_6167340_3244.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/planete/article/2023/03/28/sainte-soline-l-enregistrement-qui-prouve-que-le-samu-n-a-pas-eu-le-droit-d-intervenir_6167340_3244.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/03/28/496/0/5956/2978/644/322/60/0/0eb6792_1680023595717-choix.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'PASCAL LACHENAUD / AFP'}]",PASCAL LACHENAUD / AFP
Guerre en Ukraine : Kiev prépare une nouvelle contre-offensive,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Guerre en Ukraine\xa0: Kiev prépare une nouvelle contre-offensive'}","Wed, 29 Mar 2023 06:00:27 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=29, tm_hour=4, tm_min=0, tm_sec=27, tm_wday=2, tm_yday=88, tm_isdst=0)","Le pays a reçu cette semaine une vingtaine de chars Leopard 2, fournis par l’Allemagne. Livraisons de matériels, intensification de la formation et du renseignement… les forces ukrainiennes s’organisent en vue de manœuvres d’envergure.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Le pays a reçu cette semaine une vingtaine de chars Leopard\xa02, fournis par l’Allemagne. Livraisons de matériels, intensification de la formation et du renseignement… les forces ukrainiennes s’organisent en vue de manœuvres d’envergure.'}",https://www.lemonde.fr/international/article/2023/03/29/guerre-en-ukraine-kiev-prepare-une-nouvelle-contre-offensive_6167371_3210.html,True,https://www.lemonde.fr/international/article/2023/03/29/guerre-en-ukraine-kiev-prepare-une-nouvelle-contre-offensive_6167371_3210.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/international/article/2023/03/29/guerre-en-ukraine-kiev-prepare-une-nouvelle-contre-offensive_6167371_3210.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/03/29/333/0/4000/2000/644/322/60/0/63c1cef_1680048430493-000-33c63q4.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'BEN STANSALL / AFP'}]",BEN STANSALL / AFP
"Football : Hervé Renard, pressenti chez les Bleues, quitte son poste de sélectionneur de l’Arabie saoudite","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Football\xa0: Hervé Renard, pressenti chez les Bleues, quitte son poste de sélectionneur de l’Arabie saoudite'}","Tue, 28 Mar 2023 22:47:23 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=20, tm_min=47, tm_sec=23, tm_wday=1, tm_yday=87, tm_isdst=0)","A quatre mois du Mondial, le technicien français devrait succéder à Corinne Diacre, débarquée le 9 mars sur fond de fronde de certaines joueuses cadres.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'A quatre mois du Mondial, le technicien français devrait succéder à Corinne Diacre, débarquée le 9\xa0mars sur fond de fronde de certaines joueuses cadres.'}",https://www.lemonde.fr/sport/article/2023/03/28/football-herve-renard-pressenti-chez-les-bleues-quitte-son-poste-de-selectionneur-de-l-arabie-saoudite_6167347_3242.html,True,https://www.lemonde.fr/sport/article/2023/03/28/football-herve-renard-pressenti-chez-les-bleues-quitte-son-poste-de-selectionneur-de-l-arabie-saoudite_6167347_3242.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/sport/article/2023/03/28/football-herve-renard-pressenti-chez-les-bleues-quitte-son-poste-de-selectionneur-de-l-arabie-saoudite_6167347_3242.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/03/28/0/111/2977/1489/644/322/60/0/fc8a3db_5869996-01-06.jpg'}]","[{'scheme': 'urn:ebu', 'content': '- / AFP'}]",- / AFP
"Cinéma cette semaine : « Bonne conduite », « Voyages en Italie », « Grand Paris », « Sept hivers à Téhéran »…","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Cinéma cette semaine\xa0: «\xa0Bonne conduite\xa0», «\xa0Voyages en Italie\xa0», «\xa0Grand Paris\xa0», «\xa0Sept hivers à Téhéran\xa0»…'}","Wed, 29 Mar 2023 00:30:04 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=22, tm_min=30, tm_sec=4, tm_wday=1, tm_yday=87, tm_isdst=0)","Chaque mercredi dans « La Matinale », les journalistes de la rubrique cinéma du « Monde » livrent leurs critiques des films à découvrir en salle.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Chaque mercredi dans «\xa0La\xa0Matinale\xa0», les journalistes de la rubrique cinéma du «\xa0Monde\xa0» livrent leurs critiques des films à découvrir en salle.'}",https://www.lemonde.fr/culture/article/2023/03/29/au-cinema-cette-semaine-bonne-conduite-voyages-en-italie-grand-paris-sept-hivers-a-teheran_6167350_3246.html,True,https://www.lemonde.fr/culture/article/2023/03/29/au-cinema-cette-semaine-bonne-conduite-voyages-en-italie-grand-paris-sept-hivers-a-teheran_6167350_3246.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/culture/article/2023/03/29/au-cinema-cette-semaine-bonne-conduite-voyages-en-italie-grand-paris-sept-hivers-a-teheran_6167350_3246.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/03/28/43/0/1376/688/644/322/60/0/f885ba5_1680006050446-voyage1.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'MÉTÉORE FILMS'}]",MÉTÉORE FILMS
"Guerre en Ukraine, en direct : le patron de l’AIEA attendu dans la matinée à la centrale nucléaire de Zaporijia","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Guerre en Ukraine, en direct\xa0: le patron de l’AIEA attendu dans la matinée à la centrale nucléaire de Zaporijia'}","Wed, 29 Mar 2023 06:00:21 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=29, tm_hour=4, tm_min=0, tm_sec=21, tm_wday=2, tm_yday=88, tm_isdst=0)","Arrivé en Ukraine en début de semaine, Rafael Grossi et la délégation de l’Agence internationale de l’énergie atomique devront traverser la ligne de front pour pénétrer dans les installations sous contrôle russe. « L’action militaire continue » autour de la centrale, a-t-il averti mardi sur CNN.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Arrivé en Ukraine en début de semaine, Rafael Grossi et la délégation de l’Agence internationale de l’énergie atomique devront traverser la ligne de front pour pénétrer dans les installations sous contrôle russe. «\xa0L’action militaire continue\xa0» autour de la centrale, a-t-il averti mardi sur CNN.'}",https://www.lemonde.fr/international/live/2023/03/29/guerre-en-ukraine-en-direct-plus-de-19-500-enfants-ukrainiens-deportes-illegalement-par-la-russie-selon-kiev_6167368_3210.html,True,https://www.lemonde.fr/international/live/2023/03/29/guerre-en-ukraine-en-direct-plus-de-19-500-enfants-ukrainiens-deportes-illegalement-par-la-russie-selon-kiev_6167368_3210.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/international/live/2023/03/29/guerre-en-ukraine-en-direct-plus-de-19-500-enfants-ukrainiens-deportes-illegalement-par-la-russie-selon-kiev_6167368_3210.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/03/27/1338/0/8003/4001/644/322/60/0/7145b73_9b0d5a9b10804ae79c2db0e00f63c27d-0-e43bf884f6c047f2ab3681dc52397868.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'Efrem Lukatsky / AP'}]",Efrem Lukatsky / AP
"Nitrites dans les charcuteries : le gouvernement demande aux industriels de réduire les teneurs, mais ne leur fixe pas d’interdiction","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Nitrites dans les charcuteries\xa0: le gouvernement demande aux industriels de réduire les teneurs, mais ne leur fixe pas d’interdiction'}","Wed, 29 Mar 2023 01:12:11 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=23, tm_min=12, tm_sec=11, tm_wday=1, tm_yday=87, tm_isdst=0)","Le plan du gouvernement était attendu depuis l’avis rendu en juillet 2022 par l’Anses, confirmant le lien entre cancer et exposition aux nitrites.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Le plan du gouvernement était attendu depuis l’avis rendu en juillet\xa02022 par l’Anses, confirmant le lien entre cancer et exposition aux nitrites.'}",https://www.lemonde.fr/planete/article/2023/03/29/nitrites-dans-les-charcuteries-le-gouvernement-demande-de-reduire-les-teneurs-mais-ne-fixe-pas-d-interdiction_6167352_3244.html,True,https://www.lemonde.fr/planete/article/2023/03/29/nitrites-dans-les-charcuteries-le-gouvernement-demande-de-reduire-les-teneurs-mais-ne-fixe-pas-d-interdiction_6167352_3244.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/planete/article/2023/03/29/nitrites-dans-les-charcuteries-le-gouvernement-demande-de-reduire-les-teneurs-mais-ne-fixe-pas-d-interdiction_6167352_3244.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/03/28/85/0/1024/512/644/322/60/0/77a3c1c_1680044791897-024-3773526.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'MAISANT LUDOVIC / HEMIS.FR / Hemis via AFP'}]",MAISANT LUDOVIC / HEMIS.FR / Hemis via AFP
Avenir de la Nouvelle-Calédonie : le mouvement indépendantiste ouvert à des discussions avec le gouvernement,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Avenir de la Nouvelle-Calédonie\xa0: le mouvement indépendantiste ouvert à des discussions avec le gouvernement'}","Tue, 28 Mar 2023 23:35:35 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=21, tm_min=35, tm_sec=35, tm_wday=1, tm_yday=87, tm_isdst=0)","Des réunions entre l’Etat et les deux camps, loyaliste d’un côté et indépendantiste de l’autre, doivent se tenir à Paris du 7 au 14 avril.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Des réunions entre l’Etat et les deux camps, loyaliste d’un côté et indépendantiste de l’autre, doivent se tenir à Paris du 7\xa0au 14\xa0avril.'}",https://www.lemonde.fr/politique/article/2023/03/28/avenir-de-la-nouvelle-caledonie-le-mouvement-independantiste-ouvert-a-des-discussions-avec-le-gouvernement_6167349_823448.html,True,https://www.lemonde.fr/politique/article/2023/03/28/avenir-de-la-nouvelle-caledonie-le-mouvement-independantiste-ouvert-a-des-discussions-avec-le-gouvernement_6167349_823448.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/politique/article/2023/03/28/avenir-de-la-nouvelle-caledonie-le-mouvement-independantiste-ouvert-a-des-discussions-avec-le-gouvernement_6167349_823448.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/03/28/394/0/4724/2362/644/322/60/0/a1c1321_1680021338825-000-8ql7f9.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'THEO ROUBY / AFP'}]",THEO ROUBY / AFP
Trottinette électrique : l’âge minimal d’utilisation va passer à 14 ans,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Trottinette électrique\xa0: l’âge minimal d’utilisation va passer à 14\xa0ans'}","Wed, 29 Mar 2023 02:42:15 +0200","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=29, tm_hour=0, tm_min=42, tm_sec=15, tm_wday=2, tm_yday=88, tm_isdst=0)","Un plan d’action du gouvernement relève l’âge de 12 à 14 ans, et augmente les amendes pour sanctionner notamment la circulation à deux personnes sur un même engin.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/rss/une.xml', 'value': 'Un plan d’action du gouvernement relève l’âge de 12\xa0à 14\xa0ans, et augmente les amendes pour sanctionner notamment la circulation à deux personnes sur un même engin.'}",https://www.lemonde.fr/politique/article/2023/03/29/trottinette-electrique-l-age-minimum-d-utilisation-va-passer-a-14-ans_6167355_823448.html,True,https://www.lemonde.fr/politique/article/2023/03/29/trottinette-electrique-l-age-minimum-d-utilisation-va-passer-a-14-ans_6167355_823448.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/politique/article/2023/03/29/trottinette-electrique-l-age-minimum-d-utilisation-va-passer-a-14-ans_6167355_823448.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2019/06/14/905/0/5800/2897/644/322/60/0/bf8d386_5051168-01-06.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'PHILIPPE LOPEZ / AFP'}]",PHILIPPE LOPEZ / AFP
